TICKER,CNAME,ACTDATS,ESTIMATOR,ANALYS,FPI,MEASURE,VALUE,ANNDATS,REVDATS,FPEDATS,ANNDATS_ACT,ACTUAL
AAPL,APPLE COMPUTER,19950120,206,7985,6,EPS,0.0095,19950120,19950608,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950120,7,7932,6,EPS,0.0083,19950120,19951018,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950120,308,677,6,EPS,0.0079,19950120,19951020,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950120,125,146,6,EPS,0.0086,19950120,19951020,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950120,29,9077,6,EPS,0.0104,19950120,19951020,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950120,28,1997,6,EPS,0.0087,19950120,19951020,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950123,232,740,6,EPS,0.0091,19950120,19950323,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950123,118,1765,6,EPS,0.0097,19950123,19950327,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950123,933,9514,6,EPS,0.0087,19950123,19951012,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950126,68,18367,6,EPS,0.0072,19950125,19950301,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950130,183,4684,6,EPS,0.0084,19950130,19951019,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950130,37,9236,6,EPS,0.0079,19950130,19951020,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950131,100,9486,6,EPS,0.0092,19950131,19950313,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950202,39,678,6,EPS,0.0078,19950202,19950417,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950202,94,965,6,EPS,0.0088,19950202,19951003,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950203,114,494,6,EPS,0.0087,19950203,19950324,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950216,189,5668,6,EPS,0.0095,19950214,19950314,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950223,192,1830,6,EPS,0.0078,19950222,19951020,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950224,211,4299,6,EPS,0.0113,19950223,19950328,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950228,142,54,6,EPS,0.0076,19950228,19951019,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950302,68,18367,6,EPS,0.0085,19950228,19951018,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950314,100,9486,6,EPS,0.0085,19950314,19951020,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950315,189,5668,6,EPS,0.0083,19950315,19951020,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950324,232,740,6,EPS,0.0075,19950324,19951020,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950328,118,1765,6,EPS,0.0085,19950328,19950712,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950329,211,4299,6,EPS,0.0098,19950329,19951020,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950404,114,494,6,EPS,0.0076,19950404,19951019,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950404,215,685,6,EPS,0.0076,19950404,19951020,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950404,86,585,6,EPS,0.0076,19950404,19951020,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950411,275,689,6,EPS,0.0085,19950410,19951019,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950418,39,678,6,EPS,0.0072,19950418,19951017,19950331,19950420,0.0053
AAPL,APPLE COMPUTER,19950421,28,1997,6,EPS,0.0075,19950421,19960118,19950630,19950720,0.0075
AAPL,APPLE COMPUTER,19950421,100,9486,6,EPS,0.008,19950421,19960119,19950630,19950720,0.0075
AAPL,APPLE COMPUTER,19950424,206,7985,6,EPS,0.0083,19950424,19950608,19950630,19950720,0.0075
AAPL,APPLE COMPUTER,19950424,232,740,6,EPS,0.0086,19950424,19950711,19950630,19950720,0.0075
AAPL,APPLE COMPUTER,19950424,189,5668,6,EPS,0.0081,19950424,19960119,19950630,19950720,0.0075
AAPL,APPLE COMPUTER,19950424,183,4684,6,EPS,0.0087,19950424,19960119,19950630,19950720,0.0075
AAPL,APPLE COMPUTER,19950425,118,1765,6,EPS,0.008,19950424,19950712,19950630,19950720,0.0075
AAPL,APPLE COMPUTER,19950426,192,1830,6,EPS,0.008,19950426,19960115,19950630,19950720,0.0075
AAPL,APPLE COMPUTER,19950427,863,30168,6,EPS,0.0079,19950427,19960119,19950630,19950720,0.0075
AAPL,APPLE COMPUTER,19950501,125,146,6,EPS,0.0085,19950501,19960119,19950630,19950720,0.0075
